t0	tf	lft
99	161	63
137	144	8
31	249	219
148	154	7
193	208	16
236	299	64
204	204	1
13	71	59
107	245	139
216	222	7
31	38	8
145	237	93
102	221	120
137	265	129
170	171	2
149	153	5
129	129	1
39	218	180
134	135	2
121	224	104
107	186	80
29	182	154
280	281	2
94	213	120
50	215	166
42	164	123
240	297	58
125	278	154
41	278	238
106	250	145
235	286	52
90	90	1
111	157	47
164	278	115
144	294	151
174	259	86
60	210	151
73	99	27
161	268	108
155	158	4
157	177	21
2	3	2
2	30	29
194	221	28
97	173	77
158	173	16
61	61	1
197	236	40
60	281	222
14	24	11
90	113	24
15	52	38
15	61	47
201	265	65
25	30	6
219	256	38
29	52	24
14	75	62
287	287	1
32	292	261
32	110	79
31	213	183
241	241	1
91	279	189
33	64	32
43	249	207
59	237	179
113	174	62
68	275	208
45	258	214
24	217	194
51	237	187
27	139	113
42	279	238
75	148	74
277	279	3
222	222	1
218	303	86
54	233	180
22	26	5
68	284	217
21	242	222
263	274	12
3	229	227
240	241	2
23	24	2
267	267	1
98	189	92
40	279	240
191	279	89
147	193	47
235	251	17
85	92	8
182	182	1
98	99	2
85	99	15
98	270	173
47	128	82
252	252	1
95	279	185
94	187	94
98	101	4
95	240	146
32	139	108
239	278	40
45	279	235
258	258	1
5	273	269
66	240	175
25	181	157
73	205	133
52	87	36
10	178	169
72	275	204
97	276	180
46	278	233
189	223	35
173	244	72
66	276	211
47	279	233
143	143	1
44	137	94
47	276	230
86	99	14
88	229	142
94	103	10
23	25	3
24	24	1
267	267	1
278	278	1
4	20	17
86	90	5
8	267	260
101	296	196
20	172	153
26	34	9
24	259	236
169	251	83
88	139	52
48	291	244
132	153	22
156	157	2
75	97	23
83	110	28
108	114	7
80	81	2
93	208	116
18	161	144
55	146	92
83	269	187
58	114	57
34	34	1
85	114	30
27	43	17
10	13	4
129	131	3
37	85	49
75	112	38
59	276	218
270	292	23
154	261	108
56	284	229
234	263	30
209	226	18
40	161	122
79	287	209
23	23	1
37	247	211
56	262	207
36	276	241
289	302	14
81	81	1
26	26	1
177	235	59
29	293	265
5	5	1
22	25	4
36	252	217
74	78	5
225	226	2
225	231	7
53	60	8
80	82	3
260	260	1
17	60	44
152	298	147
225	225	1
199	243	45
54	268	215
79	277	199
154	257	104
79	299	221
107	168	62
98	180	83
117	298	182
98	154	57
42	298	257
92	113	22
107	299	193
48	165	118
227	252	26
131	246	116
54	130	77
50	299	250
1	15	15
248	248	1
199	199	1
251	284	34
88	213	126
92	190	99
146	146	1
136	279	144
286	296	11
199	256	58
95	152	58
99	149	51
40	107	68
234	256	23
88	271	184
10	75	66
62	128	67
78	147	70
137	151	15
75	118	44
93	135	43
178	192	15
20	91	72
233	287	55
20	182	163
199	199	1
65	81	17
39	108	70
122	123	2
113	275	163
293	293	1
12	269	258
284	302	19
191	192	2
12	209	198
284	288	5
78	79	2
169	173	5
150	205	56
292	299	8
297	303	7
262	299	38
205	251	47
129	131	3
298	299	2
190	192	3
201	209	9
0	0	1
300	302	3
117	118	2
